공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2020000805,부산광역시,,부산북구,,부산만덕5지구 1블록 공공분양주택 해약세대 추가입주자 모집,1,입주예정,2020-09,청약홈 분양정보 오픈API
2020000801,경상남도,,양산시,물금읍,양산물금 브라운스톤,206,입주예정,2022-06,청약홈 분양정보 오픈API
2020000789,광주광역시,,광주북구,,광주동림2단지,36,입주예정,2020-09,청약홈 분양정보 오픈API
2020000756,대구광역시,,대구동구,,동대구 동화아이위시,144,입주예정,2023-12,청약홈 분양정보 오픈API
2020000833,광주광역시,,광주광산구,,하남2지구 다사로움1단지,354,입주예정,2020-11,청약홈 분양정보 오픈API
2020000821,인천광역시,,인천연수구,,더샵 송도 그린워크3차(D17-1블록) 외국인임대 분양전환 APT,40,입주예정,2020-08,청약홈 분양정보 오픈API
2020000825,경기도,,남양주시,,남양주별내 A25BL 신혼희망타운,1,입주예정,2022-04,청약홈 분양정보 오픈API
2020000733,경기도,,평택시,고덕면,평택고덕 A-39블록 공공분양,811,입주예정,2022-11,청약홈 분양정보 오픈API
2020000811,강원도,,원주시,,원주태장2블록 행복주택,259,입주예정,2021-12,청약홈 분양정보 오픈API
2020000808,전라남도,,목포시,,목포용해5(목포법원) 행복주택 입주자모집,400,입주예정,2021-11,청약홈 분양정보 오픈API
2020000800,경기도,,동두천시,송내동,동두천송내 S1BL 행복주택,260,입주예정,2021-07,청약홈 분양정보 오픈API
2020000799,경기도,,하남시,학암동,위례 A3-3bBL 신혼희망타운 행복주택,167,입주예정,2021-09,청약홈 분양정보 오픈API
2020000787,경상남도,,진주시,,진주옥봉 A-1BL 행복주택,500,입주예정,2021-09,청약홈 분양정보 오픈API
2020000786,대구광역시,,대구북구,읍내동,대구읍내 행복주택,252,입주예정,2021-11,청약홈 분양정보 오픈API
2020000785,대구광역시,,대구북구,,대구복현 행복주택,197,입주예정,2021-04,청약홈 분양정보 오픈API
2020000776,충청남도,,계룡시,두마면,계룡 한라비발디 더 센트럴,905,입주예정,2023-03,청약홈 분양정보 오픈API
2020000774,서울특별시,구로구,,,2020년도 1차 행복주택 입주자모집,2963,입주예정,2020-12,청약홈 분양정보 오픈API
2020000773,경기도,,고양덕양구,,고양삼송 A11-2블록 행복주택 입주자 모집,777,입주예정,2022-03,청약홈 분양정보 오픈API
2020000772,경기도,,고양덕양구,,고양지축 A-4블록 행복주택,473,입주예정,2021-08,청약홈 분양정보 오픈API
2020000768,서울특별시,중랑구,,,서울 양원 S2BL 행복주택,134,입주예정,2022-01,청약홈 분양정보 오픈API
2020000760,부산광역시,,부산강서구,,부산명지 행복주택,284,입주예정,2021-01,청약홈 분양정보 오픈API
2020000755,세종특별자치시,,세종시,금남면,행정중심복합도시 4-2M3블록 신혼희망타운,16,입주예정,2022-08,청약홈 분양정보 오픈API
2020000750,인천광역시,,인천미추홀구,주안동,주안파크자이 더 플래티넘,1327,입주예정,2023-02,청약홈 분양정보 오픈API
2020000726,경상북도,,문경시,,문경매봉2단지,70,입주예정,2020-10,청약홈 분양정보 오픈API
2020000754,대구광역시,,대구달서구,,대구가람1단지,85,입주예정,2020-10,청약홈 분양정보 오픈API
2020000747,충청남도,,보령시,,보령명천2 50년공공임대,120,입주예정,2020-09,청약홈 분양정보 오픈API
2020000764,경상남도,,창원시,내서읍,마산삼계2아파트,385,입주예정,2020-09,청약홈 분양정보 오픈API
2020000745,인천광역시,,인천서구,,가재울역 트루엘 에코시티,477,입주예정,2023-08,청약홈 분양정보 오픈API
2020000693,경기도,,광명시,광명동,광명 푸르지오 포레나,397,입주예정,2023-09,청약홈 분양정보 오픈API
2020000691,전라북도,,정읍시,상동,정읍 상동1차 영무예다음,386,입주예정,2023-06,청약홈 분양정보 오픈API
2020000638,광주광역시,,광주광산구,,힐스테이트 광산,428,입주예정,2022-08,청약홈 분양정보 오픈API
2020000751,충청북도,,음성군,금왕읍,음성금왕1단지,115,입주예정,2020-09,청약홈 분양정보 오픈API
2020000744,경기도,,양주시,옥정동,양주 옥정신도시 제일풍경채 Lake City(A10-1BL),1246,입주예정,2023-05,청약홈 분양정보 오픈API
2020000721,서울특별시,서초구,,,서초비버리캐슬,42,입주예정,2020-07,청약홈 분양정보 오픈API
2020000718,경기도,,평택시,,평택 고덕국제신도시 A-43블럭 호반써밋II,414,입주예정,2022-05,청약홈 분양정보 오픈API
2020000712,경기도,,수원팔달구,,수원 센트럴 아이파크 자이,2165,입주예정,2023-07,청약홈 분양정보 오픈API
2020000723,부산광역시,,부산사상구,감전동,감전엘크루센트로아파트,90,입주예정,2021-09,청약홈 분양정보 오픈API
2020000666,전라남도,,함평군,함평읍,함평 한국아델리움 더퍼스트,163,입주예정,2022-05,청약홈 분양정보 오픈API
2020000553,부산광역시,,부산동래구,온천동,이안 동래 센트럴시티,257,입주예정,2023-09,청약홈 분양정보 오픈API
2020000720,충청북도,,청주동남지구,,청주 동남 파라곤,562,입주예정,2022-08,청약홈 분양정보 오픈API
2020000717,인천광역시,,인천부평구,,인천 부평 우미린,177,입주예정,2023-07,청약홈 분양정보 오픈API
2020000648,경상남도,,양산시,동면,사송더샵데시앙2차(B-7BL),993,입주예정,2023-05,청약홈 분양정보 오픈API
2020000644,경상남도,,양산시,동면,사송더샵데시앙2차(B-5BL),477,입주예정,2023-01,청약홈 분양정보 오픈API
2020000640,경상남도,,양산시,동면,사송더샵데시앙2차(B-6BL),614,입주예정,2023-02,청약홈 분양정보 오픈API
2020000719,인천광역시,,인천연수구,송도동,힐스테이트 레이크 송도 3차,1100,입주예정,2023-10,청약홈 분양정보 오픈API
2020000698,서울특별시,동대문구,,용두동,래미안 엘리니티,475,입주예정,2022-08,청약홈 분양정보 오픈API
2020000697,부산광역시,,부산부산진구,,백양산 롯데캐슬 골드센트럴,1442,입주예정,2023-12,청약홈 분양정보 오픈API
2020000146,경기도,,가평군,가평읍,LH가평읍내 50년공공임대주택 예비입주자 모집,90,입주예정,2020-10,청약홈 분양정보 오픈API
2020000711,서울특별시,양천구,,,스위트드림 아파트,48,입주예정,2020-07,청약홈 분양정보 오픈API
2020000565,인천광역시,,인천남동구,,이안논현오션파크,294,입주예정,2023-11,청약홈 분양정보 오픈API
2020000708,강원도,,평창군,대관령면,대관령 현대힐스 700,44,입주예정,2020-07,청약홈 분양정보 오픈API
2020000695,경기도,,수원장안구,21-18(연무동,서광교 파크 스위첸,374,입주예정,2023-05,청약홈 분양정보 오픈API
2020000670,경기도,,김포시,,김포 센트럴 헤센 1단지,29,입주예정,2020-07,청약홈 분양정보 오픈API
2020000616,인천광역시,,인천서구,경서동,북청라 하우스토리,58,입주예정,2022-02,청약홈 분양정보 오픈API
2020000707,충청남도,,당진시,합덕읍,한경크리스탈아파트,45,입주예정,2020-07,청약홈 분양정보 오픈API
2020000706,충청남도,,아산시,탕정면,아산탕정2-A7BL 국민임대,780,입주예정,2021-05,청약홈 분양정보 오픈API
2020000705,경상남도,,진주시,,진주가좌올리움,120,입주예정,2020-08,청약홈 분양정보 오픈API
2020000703,대구광역시,,대구달성군,화원읍,설화명곡역 우방아이유쉘,320,입주예정,2023-04,청약홈 분양정보 오픈API
2020000688,경기도,,안성시,,안성아양 B6 10년공공임대리츠 잔여세대 모집,101,입주예정,2020-06,청약홈 분양정보 오픈API
2020000672,경기도,,여주시,,여주역 금호어울림 베르티스,605,입주예정,2022-08,청약홈 분양정보 오픈API
2020000669,강원도,,속초시,,골든렉시움,48,입주예정,2020-07,청약홈 분양정보 오픈API
2020000631,서울특별시,강서구,,,공항동 발쿠치네 하우스,45,입주예정,2020-07,청약홈 분양정보 오픈API
2020000605,울산광역시,,울산남구,,번영로 하늘채 센트럴파크,295,입주예정,2022-04,청약홈 분양정보 오픈API
2020000464,제주특별자치도,,서귀포시,,서홍동 헤리티지,64,입주예정,2020-07,청약홈 분양정보 오픈API
2020000689,광주광역시,,광주광산구,,광주 선운 다사로움 10년공공임대 예비입주자,59,입주예정,2020-07,청약홈 분양정보 오픈API
2020000683,부산광역시,,부산북구,만덕동,부산만덕5 2블록 10년공임 추가모집,477,입주예정,2021-04,청약홈 분양정보 오픈API
2020000681,서울,,서울시,상일동,SH 고덕강일14단지 공공분양주택,411,입주예정,2021-02,청약홈 분양정보 오픈API
